model,params,learning_rate,weight_decay,best_epoch,best_val,best_train_at_best,duration_sec,status
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 64}",0.001,0.0,6,0.8300099149346352,0.7797667354345321,7.876009700004943,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 128}",0.001,0.0,4,0.834705226123333,0.7837675988674164,4.10628939999151,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64]}",0.001,0.0,6,0.8388658165931702,0.7741513162851333,4.86257850000402,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [128, 64]}",0.001,0.0,2,0.841044507920742,0.7974293559789658,4.092298499977915,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64, 64]}",0.001,0.0,4,0.8408508226275444,0.7817203968763351,4.686750699998811,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 64}",0.001,0.0001,8,0.8231854811310768,0.7839745908975602,5.113928000006126,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 128}",0.001,0.0001,6,0.8329358473420143,0.7799431115388871,4.487880600005155,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64]}",0.001,0.0001,4,0.8406068906188011,0.7826539486646652,4.558760300016729,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [128, 64]}",0.001,0.0001,2,0.8338871747255325,0.7911120444536209,4.066036600008374,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64, 64]}",0.001,0.0001,2,0.8434844315052032,0.8108812391757965,4.341579600004479,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 64}",0.0005,0.0,18,0.8308700025081635,0.7760051101446152,6.478344900009688,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 128}",0.0005,0.0,10,0.8259058147668839,0.7797549664974213,4.735578499996336,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64]}",0.0005,0.0,8,0.829217717051506,0.7759003579616547,4.785441500018351,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [128, 64]}",0.0005,0.0,6,0.8338688760995865,0.7759379565715789,4.425530899985461,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64, 64]}",0.0005,0.0,8,0.8394132554531097,0.7766410708427429,4.999113700003363,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 64}",0.0005,0.0001,18,0.8218584954738617,0.7784017443656921,6.237787999998545,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': 128}",0.0005,0.0001,8,0.8372092470526695,0.7837457537651062,4.513483599992469,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64]}",0.0005,0.0001,8,0.8330135196447372,0.7797662585973739,4.842340099974535,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [128, 64]}",0.0005,0.0001,6,0.8342663124203682,0.7748542726039886,4.413983500009636,ok
mlp,"{'input_size': 20, 'output_size': 1, 'mlp_hidden_size': [64, 64, 64]}",0.0005,0.0001,8,0.8370896130800247,0.7769211620092392,5.024994500010507,ok
sequential_mlp,"{'input_size': 2, 'output_size': 1, 'sequence_length': 10, 'gru_hidden_size': 64, 'mlp_hidden_size': 64, 'pooling': 'last'}",0.001,0.0,28,0.8198880925774574,0.7848653435707093,9.942596000008052,ok
